KANAL;SATELIT;POLARIZACIJA;STUPNJEVI;FREKVENCIJA;SID;PAKET;DVB;MODULACIJA;SYMBOL_RATE;FEC;TID;ONID;ENKRIPCIJA;TIP
HRT 1;Eutelsat 16A;H;16.0°E;10720.00;901;OiV Zagreb;DVB-S;QPSK;"""3/4""";27500;TID:20100;NID:366;ClearViaccess 2.5Viaccess 3.0;tv
HRT 1;Eutelsat 16A;V;16.0°E;11554.00;1801;Direct2Home;DVB-S2;8PSK;"""5/6""";30000;TID:50600;NID:366;Conax;tv
HRT 3;Eutelsat 16A;H;16.0°E;11678.25;198;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:3;NID:64;Nagravision 3;tv
HRT 4;Eutelsat 16A;V;16.0°E;11554.00;1842;Direct2Home;DVB-S2;8PSK;"""5/6""";30000;TID:50600;NID:366;Conax;tv
HRT 3;Eutelsat 16A;H;16.0°E;10720.00;903;OiV Zagreb;DVB-S;QPSK;"""3/4""";27500;TID:20100;NID:366;Viaccess 2.5Viaccess 3.0;tv
HRT 1;Eutelsat 16A;H;16.0°E;11470.75;861;Total TV;DVB-S2;8PSK;"""3/4""";30000;TID:50100;NID:366;VideoGuard;tv
HRT Akdeniz (Hatay);Turksat 3A;H;42.0°E;12515.00;51900; ;DVB-S;QPSK;"""2/3""";11666;TID:31301;NID:1070;Clear;tv
HRT 2;Eutelsat 16A;V;16.0°E;11554.00;1802;Direct2Home;DVB-S2;8PSK;"""5/6""";30000;TID:50600;NID:366;Conax;tv
HRT 1;Eutelsat 16A;H;16.0°E;11595.25;295;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:2;NID:64;Nagravision 3;tv
HRT 2;Eutelsat 16A;H;16.0°E;11470.75;862;Total TV;DVB-S2;8PSK;"""3/4""";30000;TID:50100;NID:366;VideoGuard;tv
HRT R-Pula (radio);Eutelsat 16A;H;16.0°E;10720.00;909;OiV Zagreb;DVB-S;QPSK;"""3/4""";27500;TID:20100;NID:366;Clear;radio
HRT 2;Eutelsat 16A;H;16.0°E;10720.00;902;OiV Zagreb;DVB-S;QPSK;"""3/4""";27500;TID:20100;NID:366;Viaccess 2.5Viaccess 3.0;tv
HRT 4;Eutelsat 16A;H;16.0°E;10720.00;904;OiV Zagreb;DVB-S;QPSK;"""3/4""";27500;TID:20100;NID:366;ClearViaccess 2.5Viaccess 3.0;tv
HRT 3;Eutelsat 16A;V;16.0°E;11554.00;1812;Direct2Home;DVB-S2;8PSK;"""5/6""";30000;TID:50600;NID:366;Conax;tv
HRT 2;Eutelsat 16A;H;16.0°E;11678.25;296;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:3;NID:64;Nagravision 3;tv
Fashion TV  ;Eutelsat 16A;V;16.0°E;11595.25;952;Antik Sat;DVB-S2;8PSK;"""5/6""";30000;TID:50800;NID:366;Conax;tv
Future USA;Badr 4;H;26.0°E;12698.00;1;FTV;DVB-S2;8PSK;"""3/4""";3200;TID:2;NID:65535;Clear;tv
FTV HD;Nilesat 201;H;7.0°W;12073.00;4501;Orbit Showtime Network;DVB-S2;8PSK;"""2/3""";30000;TID:45;NID:2048;BetaCryptIrdeto 2;tv
Fashion TV  ;Hispasat 30W-5;H;30.0°W;12207.00;361;Nos;DVB-S2;8PSK;"""3/4""";27500;TID:103;NID:83;Nagravision 3;tv
RTL Klub HD;Astra 5B;V;31.5°E;12402.00;8516;Orange Romania;DVB-S2;8PSK;"""3/4""";30000;TID:5236;NID:167;Viaccess 5.0;tv
RTL TVI HD;Hot Bird 13C;H;13.0°E;10930.00;16913;MobistarTeleSat;DVB-S2;8PSK;"""2/3""";30000;TID:12100;NID:318;Mediaguard 3Nagravision 3Viaccess 5.0;tv
RTL 2 HD;Eutelsat 9B;H;9.0°E;12015.00;417;KabelkioskSky Deutschland;DVB-S2;8PSK;"""2/3""";27500;TID:6500;NID:156;ConaxVideoGuard;tv
RTL 2 Croatia  ;Eutelsat 16A;H;16.0°E;11386.75;1660;Total TV;DVB-S2;8PSK;"""3/5""";30000;TID:40900;NID:366;VideoGuard;tv
RTL Crime (Croatia);Eutelsat 16A;H;16.0°E;11595.25;192;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:2;NID:64;Nagravision 3;tv
RTL Italian Style (radio);Hot Bird 13E;V;13.0°E;11623.00;10755;GLOBECAST;DVB-S;QPSK;"""3/4""";27500;TID:15600;NID:318;Clear;radio
RTL 8 HD;Astra 3B;V;23.5°E;11856.00;7036;Canal Digitaal;DVB-S2;8PSK;"""2/3""";29900;TID:3208;NID:3;Mediaguard 3Nagravision 3Viaccess 5.0;tv
Super RTL HD;Astra 1N;H;19.2°E;11082.25;11931;HD +;DVB-S2;8PSK;"""3/4""";22000;TID:1041;NID:1;Nagravision 3VideoGuard;tv
RTL 2 Croatia  ;Eutelsat 16A;H;16.0°E;11678.25;293;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:3;NID:64;ConaxNagravision 3;tv
RTL 2 Schweiz  ;Astra 1KR;H;19.2°E;11391.25;12400;BetaDigital;DVB-S;QPSK;"""5/6""";22000;TID:1013;NID:1;Clear;tv
RTL Klub  ;Thor 6;V;0.8°W;11766.00;30209;Digi TVFocus SatUPC Direct;DVB-S;QPSK;"""7/8""";28000;TID:702;NID:1536;ConaxCryptoworksIrdeto 2Nagravision 3;tv
RTL 9  ;Eutelsat 36B;H;36.0°E;11823.00;806;Multichoice Africa;DVB-S;QPSK;"""3/4""";27500;TID:65408;NID:878;Irdeto 2;tv
RTL Best (radio);Hot Bird 13E;V;13.0°E;11623.00;10757;GLOBECAST;DVB-S;QPSK;"""3/4""";27500;TID:15600;NID:318;Clear;radio
RTL International (data);NSS 7;H;20.0°W;12566.00;112; ;DVB-S2;QPSK;"""2/3""";2083;TID:101;NID:1;Clear;data
RTL (radio);Astra 1N;V;19.2°E;12363.00;9165;CanalSat;DVB-S;QPSK;"""3/4""";27500;TID:1098;NID:1;Clear;radio
RTL Nitro HD;Eutelsat 9B;H;9.0°E;12245.00;306;KabelkioskSky Deutschland;DVB-S2;8PSK;"""2/3""";27500;TID:7900;NID:156;ConaxVideoGuard;tv
RTL HD Österreich;Astra 1N;H;19.2°E;11082.25;11911;Austriasat;DVB-S2;8PSK;"""3/4""";22000;TID:1041;NID:1;Irdeto 2Viaccess 5.0VideoGuard;tv
RTL 4 HD;Astra 3B;V;23.5°E;11856.00;7020;Canal Digitaal;DVB-S2;8PSK;"""2/3""";29900;TID:3208;NID:3;Mediaguard 3Nagravision 3Viaccess 5.0;tv
RTL Passion;Eutelsat 16A;H;16.0°E;11595.25;166;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:2;NID:64;Nagravision 3;tv
RTL Nitro  ;Astra 1L;H;19.2°E;12187.50;12061;CBC;DVB-S;QPSK;"""3/4""";27500;TID:1089;NID:1;Clear;tv
RTL Crime;Astra 1N;H;19.2°E;12031.50;27;KabelkioskSky Deutschland;DVB-S2;QPSK;"""9/10""";27500;TID:4;NID:133;VideoGuard;tv
Plug RTL;Hot Bird 13C;H;13.0°E;10930.00;16915;MobistarTV Vlaanderen;DVB-S2;8PSK;"""2/3""";30000;TID:12100;NID:318;Mediaguard 3Nagravision 3Viaccess 5.0;tv
RTL Living Croatia;Eutelsat 16A;V;16.0°E;11554.00;1832;Direct2Home;DVB-S2;8PSK;"""5/6""";30000;TID:50600;NID:366;Conax;tv
RTL (radio);Eutelsat 5 West A;H;5.0°W;11480.00;1100;FM-DVB TDF TFL;DVB-S2;8PSK;"""3/4""";3215;TID:10001;NID:144;Clear;radio
RTL 2 Österreich  ;Astra 1L;H;19.2°E;12226.50;28810;RTL;DVB-S;QPSK;"""3/4""";27500;TID:1091;NID:1;Clear;tv
RTL HD;Eutelsat 9B;H;9.0°E;12245.00;301;KabelkioskSky Deutschland;DVB-S2;8PSK;"""2/3""";27500;TID:7900;NID:156;ConaxVideoGuard;tv
RTL 102.5  ;Eutelsat 12 West B;H;12.5°W;12718.00;21;Persidera;DVB-S2;;"""5/6""";36512;TID:516;NID:29;Clear;tv
RTL 5 HD;Astra 3B;V;23.5°E;11856.00;7023;Canal Digitaal;DVB-S2;8PSK;"""2/3""";29900;TID:3208;NID:3;Mediaguard 3Nagravision 3Viaccess 5.0;tv
